索引,特征名称,描述
0,mean,均值
1,median,中位数
2,std,标准差
3,variance,方差
4,rms,均方根值
5,peak,峰值
6,peak_to_peak,峰峰值
7,skewness,偏度
8,kurtosis,峰度
9,crest_factor,峰值因子
10,form_factor,波形因子
11,impulse_factor,脉冲因子
12,energy,能量
13,mean_abs,平均绝对值
14,abs_energy,绝对能量
15,q25,25%分位数
16,q75,75%分位数
17,iqr,四分位距
18,zero_crossing_rate,过零率
19,peak_count,峰值数量
20,peak_rate,峰值率
21,autocorr_max,自相关最大值
22,autocorr_first_zero,自相关第一个过零点时间
23,shannon_entropy,香农熵
24,envelope_mean,包络均值
25,envelope_std,包络标准差
26,diff_mean,差分均值
27,diff_std,差分标准差
28,fractal_dimension,分形维度
29,lyapunov_exponent,李雅普诺夫指数
30,spectral_centroid,频谱重心
31,spectral_spread,频谱扩展
32,spectral_skewness,频谱偏度
33,spectral_kurtosis,频谱峰度
34,spectral_energy,频谱能量
35,spectral_entropy,频谱熵
36,band_1_energy,频带1能量
37,band_2_energy,频带2能量
38,band_3_energy,频带3能量
39,band_4_energy,频带4能量
40,band_5_energy,频带5能量
41,band_1_energy_ratio,频带1能量占比
42,band_2_energy_ratio,频带2能量占比
43,band_3_energy_ratio,频带3能量占比
44,band_4_energy_ratio,频带4能量占比
45,band_5_energy_ratio,频带5能量占比
46,dominant_frequency,主导频率
47,dominant_magnitude,主导频率幅值
48,dominant_frequency_ratio,主导频率占比
49,frequency_std,频率标准差
50,frequency_variance,频率方差
51,spectral_rolloff,频谱滚降点
52,spectral_flatness,频谱平坦度
53,spectrogram_peak_var,时频谱峰值方差
54,spectrogram_entropy,时频谱熵
