,precision,recall,f1-score,support
B--DE,0.9307284768211921,0.7047437568949955,0.8021231664859312,9971.0
B--FE,0.646331576813944,0.9238122827346466,0.7605533031242547,6904.0
IR--DE,0.7346052427485652,0.9623082393579193,0.833179399217135,9843.0
IR--FE,0.8213700873362445,0.8716871832005793,0.8457809316377433,6905.0
N--N,0.9923767455115418,1.0,0.996173788664402,13929.0
OR--DE,0.9150259067357513,0.8321945242919749,0.8716468004244713,21221.0
OR--FE,0.9110756654371448,0.7470165113617786,0.8209297103076577,12234.0
accuracy,0.8594812793956078,0.8594812793956078,0.8594812793956078,0.8594812793956078
macro avg,0.8502162430577691,0.8631089282631278,0.8471981571230851,81007.0
weighted avg,0.8768566525382514,0.8594812793956078,0.8604948681875886,81007.0
