,precision,recall,f1-score,support
B--DE--0007,0.7532921257726417,0.9136245110821382,0.8257475327736044,3068.0
B--DE--0014,0.8797514619883041,0.7845501955671447,0.8294279807029634,3068.0
B--DE--0021,0.8302650957290133,0.7350065189048239,0.7797372060857538,3068.0
B--DE--0028,0.9986876640419947,0.9921773142112125,0.9954218443427076,767.0
B--FE--0007,0.8422350041084634,0.8909169926119078,0.8658922914466737,2301.0
B--FE--0014,0.8909355307804169,0.7984361424847958,0.8421534936998855,2302.0
B--FE--0021,0.8790476190476191,0.8022598870056498,0.8389002499431947,2301.0
IR--DE--0007,0.980064308681672,0.9934810951760105,0.9867270961476206,3068.0
IR--DE--0014,0.8841991341991342,0.8336734693877551,0.8581932773109243,2940.0
IR--DE--0021,0.8953741074200559,0.940026075619296,0.9171569406900938,3068.0
IR--DE--0028,1.0,1.0,1.0,767.0
IR--FE--0007,0.9250217959895379,0.9218071242397915,0.9234116623150566,2302.0
IR--FE--0014,0.8526228143213989,0.889661164205039,0.8707482993197279,2302.0
IR--FE--0021,0.8387731026346834,0.9269882659713168,0.8806771263418662,2301.0
N--N--N,0.9993542832544124,1.0,0.9996770373560125,13929.0
OR--DE--0007,0.9376539903588645,0.9646242010138858,0.9509479059155848,9074.0
OR--DE--0014,0.8346683755206664,0.8490873533246415,0.8418161253837454,3068.0
OR--DE--0021,0.9388175985334556,0.9025223042185263,0.9203122367608244,9079.0
OR--FE--0007,0.8548121743899095,0.9029688631426502,0.8782308613282626,6905.0
OR--FE--0014,0.8680234350909651,0.9296565389696169,0.8977834476160103,3028.0
OR--FE--0021,0.9173989455184535,0.6805736636245111,0.781437125748503,2301.0
accuracy,0.9074524423815226,0.9074524423815226,0.9074524423815226,0.9074524423815226
macro avg,0.8952856460657934,0.8881924609886054,0.8897333210109055,81007.0
weighted avg,0.9089576009067762,0.9074524423815226,0.9067776012345898,81007.0
