,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2803,36,49,0,1,12,0,0,21,0,0,0,0,28,0,17,74,14,5,7,1
B--DE--0014,116,2407,106,0,4,7,7,0,33,15,0,0,40,8,2,70,76,136,26,13,2
B--DE--0021,270,38,2255,0,2,5,0,0,49,61,0,0,1,7,1,97,170,18,11,74,9
B--DE--0028,0,0,0,761,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0
B--FE--0007,2,13,7,1,2050,0,29,0,15,0,0,6,10,36,0,10,8,42,66,6,0
B--FE--0014,21,12,3,0,1,1838,46,0,10,13,0,57,38,23,0,53,3,5,124,38,17
B--FE--0021,0,3,0,0,197,16,1846,0,0,0,0,3,9,54,0,2,12,0,137,17,5
IR--DE--0007,0,0,0,0,0,0,0,3048,0,0,0,3,0,0,0,1,0,13,3,0,0
IR--DE--0014,27,71,91,0,22,20,4,0,2451,4,0,0,0,2,3,131,29,75,9,0,1
IR--DE--0021,0,7,9,0,0,5,0,0,0,2884,0,7,35,0,0,44,0,70,0,6,1
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,1,0,4,41,6,0,0,6,0,2122,5,2,0,6,0,6,73,15,15
IR--FE--0014,2,14,0,0,29,18,9,0,0,22,0,2,2048,68,0,0,1,6,31,27,25
IR--FE--0021,25,1,1,0,5,8,15,0,3,0,0,2,33,2133,0,15,0,5,11,44,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,56,3,30,0,0,13,0,0,59,25,0,9,0,28,0,8753,30,56,1,11,0
OR--DE--0014,324,3,47,0,6,4,6,0,15,0,0,0,2,0,1,24,2605,11,16,1,3
OR--DE--0021,54,82,38,0,61,5,2,56,113,186,0,5,42,12,2,88,79,8194,44,15,1
OR--FE--0007,11,38,6,0,48,39,119,6,3,1,0,34,29,86,0,5,32,52,6235,111,50
OR--FE--0014,5,2,14,0,2,5,1,0,0,0,0,13,18,51,0,14,0,8,69,2815,11
OR--FE--0021,5,6,59,0,2,27,10,0,0,4,0,31,92,5,0,0,2,17,433,42,1566
