,precision,recall,f1-score,support
B--DE,0.9447865145856466,0.9387222946544981,0.9417446423181407,9971.0
B--FE,0.9600294985250738,0.9426502534395366,0.9512605042016806,6905.0
IR--DE,0.9701659708787292,0.9679975617189881,0.9690805532953621,9843.0
IR--FE,0.9441260744985673,0.9543808834178131,0.9492257832193014,6905.0
N--N,0.9998564352882061,1.0,0.9999282124910266,13929.0
OR--DE,0.9690721649484536,0.9701225259189444,0.9695970609707275,21220.0
OR--FE,0.9566626164439044,0.9653424881477849,0.9609829529272956,12234.0
accuracy,0.9667312701371487,0.9667312701371487,0.9667312701371487,0.9667312701371487
macro avg,0.9635284678812258,0.9627451438996522,0.9631171013462191,81007.0
weighted avg,0.9667377670686655,0.9667312701371487,0.9667210078262518,81007.0
