,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2877,13,28,0,1,3,0,0,1,0,0,1,0,14,0,10,97,10,6,5,2
B--DE--0014,24,2795,28,0,1,3,2,0,26,6,0,0,29,4,0,14,31,61,24,15,5
B--DE--0021,23,18,2858,0,2,6,0,0,17,18,0,1,1,6,0,33,35,11,4,22,13
B--DE--0028,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,1,2,2,0,2187,0,17,0,8,0,0,2,7,16,0,7,3,19,30,0,0
B--FE--0014,5,4,2,0,2,2115,8,1,1,5,0,30,19,6,0,12,3,4,58,13,14
B--FE--0021,0,2,0,0,6,27,2175,0,0,0,0,3,3,25,0,0,6,2,47,1,4
IR--DE--0007,0,0,0,0,0,0,0,3061,0,0,0,0,0,0,0,1,0,6,0,0,0
IR--DE--0014,4,35,15,0,15,5,0,0,2810,0,0,1,0,1,2,20,4,22,6,0,0
IR--DE--0021,0,3,4,0,0,4,0,0,3,2992,0,3,6,0,0,7,0,43,0,2,1
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,765,1,0,0,0,1,0,0,0,0,0
IR--FE--0007,0,0,0,0,0,21,2,0,0,1,0,2244,4,0,0,0,0,4,16,2,8
IR--FE--0014,2,5,0,0,2,10,0,0,0,3,0,3,2188,31,0,0,0,10,24,13,11
IR--FE--0021,21,0,2,0,5,10,14,0,0,0,0,1,11,2184,0,12,1,9,10,21,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,8,5,16,0,0,3,0,0,22,5,0,1,0,10,0,8960,4,29,6,5,0
OR--DE--0014,88,10,24,0,4,1,2,0,8,0,0,0,0,1,0,8,2896,11,15,0,0
OR--DE--0021,15,27,15,0,10,0,0,5,48,42,0,1,8,8,0,20,28,8824,24,4,0
OR--FE--0007,7,13,7,0,22,31,33,0,0,0,0,17,15,18,0,4,12,25,6613,28,60
OR--FE--0014,1,3,13,0,2,1,2,0,0,0,0,5,15,14,0,9,0,7,41,2898,17
OR--FE--0021,6,3,16,0,2,7,4,1,1,2,0,12,17,4,0,0,1,9,96,17,2103
