,precision,recall,f1-score,support
B--DE--0007,0.9381711682395054,0.9397001303780965,0.9389350268685882,3068.0
B--DE--0014,0.9417971409121851,0.901890482398957,0.9214119214119214,3068.0
B--DE--0021,0.9443518827057648,0.923728813559322,0.933926511781183,3068.0
B--DE--0028,1.0,0.9973924380704041,0.9986945169712794,767.0
B--FE--0007,0.9675153643546971,0.9574283231972198,0.9624454148471616,2302.0
B--FE--0014,0.944692239072257,0.9200695047784535,0.9322183098591549,2302.0
B--FE--0021,0.965974370304905,0.9500217296827467,0.957931638913234,2301.0
IR--DE--0007,0.9951298701298701,0.9990221642764016,0.9970722186076773,3068.0
IR--DE--0014,0.9508028698325931,0.946920721333787,0.9488578247528128,2939.0
IR--DE--0021,0.9717990275526742,0.9771838331160365,0.9744839915488379,3068.0
IR--DE--0028,1.0,1.0,1.0,768.0
IR--FE--0007,0.9607843137254902,0.9791485664639444,0.9698795180722891,2302.0
IR--FE--0014,0.9415556510528578,0.9521946979574099,0.9468452895419187,2301.0
IR--FE--0021,0.9345314505776636,0.94874022589053,0.9415822375511964,2302.0
N--N--N,0.9998564043653073,0.9997846220116304,0.999820511900061,13929.0
OR--DE--0007,0.9812766889302529,0.9876570420983029,0.9844565277091228,9074.0
OR--DE--0014,0.9272322847156022,0.9511082138200783,0.9390185036202735,3068.0
OR--DE--0021,0.9696503188915768,0.9713593302489535,0.9705040721989875,9078.0
OR--FE--0007,0.945744222764461,0.9542360608254887,0.9499711649365629,6905.0
OR--FE--0014,0.9472990777338604,0.9501156260323753,0.9487052614217384,3027.0
OR--FE--0021,0.9392605633802817,0.9270199826238054,0.9331001311762134,2302.0
accuracy,0.965632599651882,0.965632599651882,0.965632599651882,0.965632599651882
macro avg,0.9603535671067525,0.9587963099411403,0.9595171711281056,81007.0
weighted avg,0.9656136132971069,0.965632599651882,0.9655799034550793,81007.0
