,precision,recall,f1-score,support
B--DE,0.8933863389953017,0.4958379299969913,0.6377297645920671,9971.0
B--FE,0.7512937595129376,0.7148443157132512,0.7326159554730983,6905.0
IR--DE,0.8395984123278076,0.7306715432286904,0.7813569449725678,9843.0
IR--FE,0.5332964689153962,0.977697320782042,0.6901451645880188,6905.0
N--N,0.9991388589881594,0.9996410109132683,0.9993898718730934,13928.0
OR--DE,0.8286384976525821,0.8317232929645163,0.8301780296794525,21221.0
OR--FE,0.7374427388893353,0.7500408697073729,0.7436884548364874,12234.0
accuracy,0.7971162985914797,0.7971162985914797,0.7971162985914797,0.7971162985914797
macro avg,0.7975421536116457,0.7857794690437332,0.7735863122878265,81007.0
weighted avg,0.8217146165171784,0.7971162985914797,0.7963368608377078,81007.0
