,precision,recall,f1-score,support
B--DE,0.9771303258145363,0.31277577216205377,0.4738681251899119,9972.0
B--FE,0.8151543498596819,0.6309920347574222,0.7113469387755103,6905.0
IR--DE,0.8878794848206072,0.7844950213371266,0.8329916927392383,9842.0
IR--FE,0.5870748998253364,0.8275162925416365,0.6868614016107705,6905.0
N--N,0.9999265515975028,0.9773853112211932,0.9885274469939007,13929.0
OR--DE,0.7592443883599097,0.9356298006691485,0.8382588871063075,21221.0
OR--FE,0.7504903334267302,0.8757560895863986,0.808298755186722,12234.0
accuracy,0.8035502666403318,0.8035502666403318,0.8035502666403318,0.8035502666403318
macro avg,0.825271476243472,0.7635071888964255,0.7628790353717658,81008.0
weighted avg,0.8318468214180316,0.8035502666403318,0.7903535872767627,81008.0
