ID,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 1 Count,Fold 2 Count,Fold 3 Count,Fold 4 Count,Fold 5 Count
A,IR,IR,IR,IR,IR,639,639,639,639,639
B,IR,IR,IR,IR,IR,639,632,639,639,609
C,IR,IR,IR,IR,IR,639,639,638,635,639
D,IR,IR,IR,IR,IR,639,639,639,639,639
E,IR,IR,IR,IR,IR,639,639,637,639,639
F,IR,IR,IR,IR,IR,639,639,639,639,639
G,IR,IR,IR,IR,IR,639,616,639,639,549
H,IR,IR,IR,IR,IR,639,639,639,639,639
I,IR,IR,IR,IR,IR,639,639,639,639,639
J,IR,IR,IR,IR,IR,639,639,638,635,639
K,IR,IR,IR,IR,IR,639,639,639,639,639
L,IR,IR,IR,IR,IR,639,639,632,639,636
M,IR,IR,IR,IR,IR,639,639,639,639,639
N,IR,IR,IR,IR,IR,633,632,634,634,638
O,IR,IR,IR,IR,IR,639,612,639,639,519
P,IR,IR,IR,IR,IR,639,639,639,639,639
