,precision,recall,f1-score,support
B--DE--0007,0.8588815789473684,0.8510430247718384,0.8549443352979699,3068.0
B--DE--0014,0.9423935091277891,0.7571707953063885,0.8396891378998735,3068.0
B--DE--0021,0.8505632869449967,0.8367014341590613,0.8435754189944134,3068.0
B--DE--0028,1.0,0.99609375,0.9980430528375733,768.0
B--FE--0007,0.9410852713178295,0.7910512597741095,0.8595704507906539,2302.0
B--FE--0014,0.9255996084189917,0.8218166014776185,0.8706261510128913,2301.0
B--FE--0021,0.8460565162378744,0.8714161598609904,0.8585491119195378,2302.0
IR--DE--0007,0.9880375040413838,0.9960886571056062,0.9920467456581724,3068.0
IR--DE--0014,0.8614536015574302,0.9033684926845866,0.881913303437967,2939.0
IR--DE--0021,0.9111041796631316,0.9520860495436767,0.9311444054829454,3068.0
IR--DE--0028,0.9986962190352021,0.9986962190352021,0.9986962190352021,767.0
IR--FE--0007,0.9085737505079237,0.9713292788879235,0.9389040520680244,2302.0
IR--FE--0014,0.91162385720505,0.910039113428944,0.9108307959982601,2301.0
IR--FE--0021,0.8886580805982551,0.9291920069504779,0.9084731365470375,2302.0
N--N--N,0.9994977037887486,1.0,0.9997487888031581,13929.0
OR--DE--0007,0.9515971846237141,0.9684813753581661,0.9599650445136272,9074.0
OR--DE--0014,0.8327859062406688,0.9090612777053455,0.8692535452703756,3068.0
OR--DE--0021,0.942960615663196,0.917722216103095,0.9301702483951995,9079.0
OR--FE--0007,0.8484455958549223,0.9485879797248371,0.8957264957264958,6905.0
OR--FE--0014,0.8898036732108929,0.9283118599273208,0.9086499595796281,3027.0
OR--FE--0021,0.9057017543859649,0.7176368375325803,0.8007755695588947,2302.0
accuracy,0.92214349200079,0.92214349200079,0.92214349200079,0.92214349200079
macro avg,0.9144533046367302,0.9036140185398939,0.9072045699441856,81008.0
weighted avg,0.9235717358259782,0.92214349200079,0.9214632017818308,81008.0
