,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2611,12,66,0,0,6,0,0,26,0,0,0,2,31,0,30,229,27,7,21,0
B--DE--0014,100,2323,111,0,9,6,0,0,76,8,0,0,30,8,1,47,91,178,58,15,7
B--DE--0021,113,16,2567,0,3,7,0,0,54,30,0,0,0,1,2,67,118,17,7,51,15
B--DE--0028,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
B--FE--0007,0,4,9,0,1821,2,241,1,11,1,0,33,22,19,0,9,2,47,79,1,0
B--FE--0014,17,9,0,0,0,1891,29,1,17,6,0,84,29,8,0,30,3,4,90,50,33
B--FE--0021,0,5,0,0,23,22,2006,0,0,0,0,5,15,43,0,3,2,0,166,3,9
IR--DE--0007,0,0,0,0,0,0,0,3056,0,0,0,2,0,0,0,0,0,6,2,0,2
IR--DE--0014,16,23,67,0,14,17,1,0,2655,3,0,0,0,5,4,69,17,38,10,0,0
IR--DE--0021,0,2,13,0,0,0,0,0,5,2921,0,8,16,0,0,27,0,68,3,0,5
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,0,0,1,0,0,0
IR--FE--0007,0,0,0,0,3,8,6,0,0,3,0,2236,0,1,0,1,0,1,28,6,9
IR--FE--0014,0,6,0,0,6,11,4,0,0,20,0,5,2094,72,0,0,0,9,34,24,16
IR--FE--0021,21,3,1,0,5,3,18,0,3,0,0,0,22,2139,0,16,0,1,14,56,0
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,8,5,36,0,0,14,0,0,80,28,0,10,0,20,0,8788,19,36,5,23,2
OR--DE--0014,104,4,42,0,1,6,6,0,21,0,0,0,2,0,0,37,2789,25,31,0,0
OR--DE--0021,39,42,42,0,21,5,1,35,132,178,0,3,10,5,0,98,61,8332,60,13,2
OR--FE--0007,6,9,10,0,23,23,53,0,2,0,0,41,18,29,0,0,18,25,6550,52,46
OR--FE--0014,3,0,26,0,5,12,2,0,0,3,0,7,12,23,0,9,0,16,73,2810,26
OR--FE--0021,2,2,28,0,1,10,4,0,0,5,1,27,25,3,0,1,0,5,503,33,1652
