,precision,recall,f1-score,support
B--DE--0007,0.9339654588554013,0.8989569752281616,0.9161268892210597,3068.0
B--DE--0014,0.9381443298969072,0.8898305084745762,0.9133489461358313,3068.0
B--DE--0021,0.9073952879581152,0.9038461538461539,0.9056172436316133,3068.0
B--DE--0028,1.0,1.0,1.0,767.0
B--FE--0007,0.9527934170636639,0.9556907037358818,0.9542398612014747,2302.0
B--FE--0014,0.9125844594594594,0.9387489139878367,0.9254817987152034,2302.0
B--FE--0021,0.91996699669967,0.9691438504997827,0.9439153439153439,2301.0
IR--DE--0007,0.9899967731526299,1.0,0.9949732446894762,3068.0
IR--DE--0014,0.942448552493896,0.9193603266417149,0.9307612814330004,2939.0
IR--DE--0021,0.9664931685100846,0.9683833116036505,0.9674373168349073,3068.0
IR--DE--0028,1.0,1.0,1.0,768.0
IR--FE--0007,0.963855421686747,0.9730668983492615,0.9684392563769997,2302.0
IR--FE--0014,0.910757946210269,0.9713168187744459,0.9400630914826498,2301.0
IR--FE--0021,0.947829899167032,0.9391833188531712,0.9434867990399302,2302.0
N--N--N,1.0,1.0,1.0,13929.0
OR--DE--0007,0.98001998001998,0.9729997795900375,0.9764972626223525,9074.0
OR--DE--0014,0.8805050816137974,0.931877444589309,0.9054631828978623,3068.0
OR--DE--0021,0.9617534246575342,0.9667327605199383,0.9642366642861068,9078.0
OR--FE--0007,0.9679428745062291,0.9226647356987691,0.9447616223029583,6905.0
OR--FE--0014,0.9523809523809523,0.9448298645523621,0.9485903814262022,3027.0
OR--FE--0021,0.9003254678600489,0.9613379669852302,0.9298319327731093,2302.0
accuracy,0.957966595479403,0.957966595479403,0.957966595479403,0.957966595479403
macro avg,0.9490075948663057,0.9537128729490609,0.9511081961421946,81007.0
weighted avg,0.9583755352329525,0.957966595479403,0.9579706548341722,81007.0
