,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2758,8,45,0,0,4,0,0,15,0,0,0,2,11,0,0,198,15,5,3,4
B--DE--0014,25,2730,59,0,5,12,12,0,21,18,0,0,36,5,0,24,26,63,23,7,2
B--DE--0021,15,31,2773,0,5,13,0,0,42,7,0,0,0,3,0,32,68,10,3,54,12
B--DE--0028,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,5,3,0,2200,0,26,1,9,0,0,1,5,5,0,3,0,17,25,2,0
B--FE--0014,3,6,2,0,0,2161,16,0,5,4,0,20,23,9,0,13,1,2,12,15,10
B--FE--0021,0,4,0,0,1,16,2230,0,0,0,0,2,5,17,0,0,0,1,17,4,4
IR--DE--0007,0,0,0,0,0,0,0,3068,0,0,0,0,0,0,0,0,0,0,0,0,0
IR--DE--0014,5,26,45,0,9,2,1,0,2702,0,0,3,0,4,0,44,20,75,3,0,0
IR--DE--0021,0,0,6,0,0,1,1,0,1,2971,0,4,11,0,0,19,0,43,0,0,11
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,18,20,0,0,0,0,0,2240,1,0,0,0,0,2,7,1,13
IR--FE--0014,1,4,1,0,2,4,2,0,0,2,0,3,2235,16,0,0,0,8,7,8,8
IR--FE--0021,27,0,1,0,9,4,15,0,1,0,0,1,40,2162,0,7,0,14,16,3,2
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,18,8,28,0,19,5,0,0,41,8,0,1,3,17,0,8829,39,44,4,10,0
OR--DE--0014,79,26,54,0,2,4,7,0,6,0,0,0,1,0,0,0,2859,24,6,0,0
OR--DE--0021,14,44,19,0,17,2,2,28,23,63,0,1,21,1,0,35,21,8776,7,3,1
OR--FE--0007,1,14,7,0,22,95,108,1,0,1,0,41,28,9,0,0,15,14,6371,27,151
OR--FE--0014,7,3,6,0,0,15,2,0,0,0,0,2,32,20,0,3,0,14,36,2860,27
OR--FE--0021,0,1,7,0,0,10,2,1,1,0,0,5,11,2,0,0,0,3,40,6,2213
