,precision,recall,f1-score,support
B--DE--0007,0.8740012292563,0.9269882659713168,0.8997152799746916,3068.0
B--DE--0014,0.9195979899497487,0.8947196870925684,0.9069882702792004,3068.0
B--DE--0021,0.8732919254658386,0.9165580182529335,0.8944020356234097,3068.0
B--DE--0028,1.0,0.9986962190352021,0.9993476842791911,767.0
B--FE--0007,0.9744279946164199,0.9439374185136897,0.9589403973509932,2301.0
B--FE--0014,0.8823529411764706,0.9252823631624674,0.9033078880407124,2302.0
B--FE--0021,0.9518400726942299,0.9104737070838765,0.9306974677920924,2301.0
IR--DE--0007,0.9919015225137674,0.9980443285528031,0.9949634443541835,3068.0
IR--DE--0014,0.90956749672346,0.9442176870748299,0.9265687583444593,2940.0
IR--DE--0021,0.9852517985611511,0.8927640156453716,0.9367305061559507,3068.0
IR--DE--0028,1.0,1.0,1.0,767.0
IR--FE--0007,0.9289819376026273,0.9830582102519548,0.955255382017729,2302.0
IR--FE--0014,0.8963491397398238,0.9278887923544744,0.911846318036286,2302.0
IR--FE--0021,0.8880866425992779,0.9621903520208605,0.9236545682102628,2301.0
N--N--N,0.9999282124910266,1.0,0.9999641049571054,13929.0
OR--DE--0007,0.973753569075335,0.9771875688781133,0.9754675467546755,9074.0
OR--DE--0014,0.9567343867569601,0.8288787483702738,0.8882291302829199,3068.0
OR--DE--0021,0.953322528363047,0.9718030620112347,0.9624740918512054,9079.0
OR--FE--0007,0.9543642002658396,0.9358435916002896,0.9450131617431997,6905.0
OR--FE--0014,0.9494983277591973,0.9375825627476883,0.943502824858757,3028.0
OR--FE--0021,0.909865470852018,0.8817905258583225,0.8956080335466784,2301.0
accuracy,0.9506956188971324,0.9506956188971324,0.9506956188971324,0.9506956188971324
macro avg,0.941577018402978,0.9408526249751555,0.9406036616406527,81007.0
weighted avg,0.951496267461923,0.9506956188971324,0.9506367088211658,81007.0
