,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2844,26,60,0,0,6,0,0,36,0,0,0,0,18,0,23,33,16,2,0,4
B--DE--0014,21,2745,47,0,3,7,3,1,39,4,0,1,25,22,0,42,10,72,11,8,7
B--DE--0021,26,30,2812,0,1,5,0,0,54,6,0,0,0,1,0,34,25,26,1,31,16
B--DE--0028,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B--FE--0007,0,4,1,0,2172,0,34,0,9,0,0,9,7,14,0,4,1,18,23,3,2
B--FE--0014,2,6,12,0,2,2130,1,0,2,3,0,55,25,7,0,10,0,2,20,9,16
B--FE--0021,0,5,0,0,7,102,2095,0,0,0,0,2,4,15,0,0,4,0,52,11,4
IR--DE--0007,0,0,0,0,0,0,0,3062,0,0,0,0,0,0,0,1,0,4,1,0,0
IR--DE--0014,5,29,39,0,12,19,0,0,2776,0,0,0,0,1,1,15,9,34,0,0,0
IR--DE--0021,0,1,17,0,0,5,0,1,6,2739,0,6,58,0,0,29,0,171,0,0,35
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,6,10,1,0,0,2,0,2263,4,1,0,1,0,0,1,2,11
IR--FE--0014,0,7,0,0,0,3,1,0,0,0,0,1,2136,130,0,2,0,8,5,8,1
IR--FE--0021,17,0,6,0,0,14,12,0,3,0,0,0,6,2214,0,13,0,6,3,6,1
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13929,0,0,0,0,0,0
OR--DE--0007,6,5,62,0,0,15,1,0,69,6,0,5,1,8,0,8867,3,24,1,1,0
OR--DE--0014,300,67,76,0,2,7,1,0,13,0,0,0,2,0,0,21,2543,24,11,0,1
OR--DE--0021,18,40,20,0,5,4,0,22,41,20,0,3,20,8,0,28,17,8823,6,3,1
OR--FE--0007,4,17,8,0,19,70,51,0,2,0,0,65,29,20,0,4,13,18,6462,49,74
OR--FE--0014,6,1,53,0,0,2,0,0,0,0,0,17,27,25,0,10,0,7,13,2839,28
OR--FE--0021,5,2,7,0,0,15,1,1,2,0,0,9,39,9,0,1,0,2,159,20,2029
