,precision,recall,f1-score,support
B--DE--0007,0.9018286814244466,0.916232073011734,0.9089733225545675,3068.0
B--DE--0014,0.9359622514324233,0.9051499348109517,0.9202982601491301,3068.0
B--DE--0021,0.9267568459254372,0.915580182529335,0.9211346122315134,3068.0
B--DE--0028,1.0,1.0,1.0,768.0
B--FE--0007,0.9665508253692441,0.9665508253692441,0.9665508253692441,2302.0
B--FE--0014,0.8719291180024165,0.9408952629291613,0.9051003344481605,2301.0
B--FE--0021,0.9308016877637131,0.9582971329278888,0.9443493150684931,2302.0
IR--DE--0007,0.9957696062479662,0.9973924380704041,0.996580361504641,3068.0
IR--DE--0014,0.9083197389885808,0.9472609731201089,0.927381745502998,2939.0
IR--DE--0021,0.9657669519420672,0.9563233376792699,0.961021945627252,3068.0
IR--DE--0028,1.0,1.0,1.0,767.0
IR--FE--0007,0.944977073780742,0.9847958297132928,0.9644756434801106,2302.0
IR--FE--0014,0.8912783751493429,0.9726205997392438,0.9301745635910226,2301.0
IR--FE--0021,0.9263468013468014,0.9561251086012164,0.9410004275331338,2302.0
N--N--N,0.9994259883762646,1.0,0.9997129117921482,13929.0
OR--DE--0007,0.9867320771546437,0.9753140841966057,0.9809898575624896,9074.0
OR--DE--0014,0.8945054945054945,0.9286179921773142,0.9112426035502958,3068.0
OR--DE--0021,0.9751328133830677,0.9502147813635863,0.9625125516010264,9079.0
OR--FE--0007,0.9668074834037417,0.9280231716147719,0.9470183994679672,6905.0
OR--FE--0014,0.9568733153638814,0.9382226627023456,0.9474562135112594,3027.0
OR--FE--0021,0.9447213411871318,0.9057341442224153,0.9248170326014638,2302.0
accuracy,0.9579300809796564,0.9579300809796564,0.9579300809796564,0.9579300809796564
macro avg,0.9471660224165432,0.9544452635608994,0.9505138536736627,81008.0
weighted avg,0.9586214546983074,0.9579300809796564,0.9580522702541707,81008.0
