,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2874,17,42,0,1,5,0,0,16,0,0,0,0,14,0,8,80,5,3,2,1
B--DE--0014,55,2689,78,0,12,18,8,0,42,12,0,0,12,5,0,20,17,72,18,10,0
B--DE--0021,13,20,2755,0,14,16,0,0,47,56,0,0,0,5,0,49,31,8,2,44,8
B--DE--0028,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B--FE--0007,0,1,0,0,2126,2,26,0,10,1,0,11,90,7,0,3,3,3,16,3,0
B--FE--0014,3,2,1,0,0,2162,19,0,8,3,0,14,26,2,0,12,3,1,29,3,13
B--FE--0021,0,3,0,0,6,21,2224,0,0,0,0,1,3,14,0,1,0,0,25,1,3
IR--DE--0007,0,0,0,0,0,0,0,3062,0,0,0,0,0,0,0,0,0,6,0,0,0
IR--DE--0014,10,25,29,0,4,5,0,0,2801,5,0,0,0,0,1,39,11,10,0,0,0
IR--DE--0021,0,1,1,0,0,2,0,0,0,3039,0,0,8,0,0,4,0,12,0,0,1
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,15,67,2,1,0,9,0,2184,1,0,0,3,0,0,11,0,8
IR--FE--0014,2,21,0,0,3,4,4,0,1,0,0,6,2183,43,0,0,0,7,11,12,5
IR--FE--0021,20,2,0,0,11,5,31,0,3,0,0,2,27,2163,0,5,0,2,9,18,4
N--N--N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13928,0,0,0,0,0,0
OR--DE--0007,7,8,14,0,9,8,0,2,66,53,0,2,0,24,0,8851,0,15,3,11,1
OR--DE--0014,223,21,99,0,0,0,5,0,14,0,0,0,0,0,0,45,2646,7,7,0,1
OR--DE--0021,25,46,19,0,36,2,0,29,115,199,0,1,12,9,0,41,27,8483,24,11,0
OR--FE--0007,3,18,1,0,35,64,122,1,5,2,0,31,14,8,0,2,12,2,6505,38,41
OR--FE--0014,5,16,3,0,3,18,3,0,0,0,0,5,15,15,0,2,0,4,29,2896,14
OR--FE--0021,1,3,2,0,5,6,1,1,0,1,0,2,14,2,0,0,0,5,255,22,1982
