,precision,recall,f1-score,support
B--DE--0007,0.9257198952879581,0.9220990873533247,0.9239059438275636,3068.0
B--DE--0014,0.9438828860230045,0.8826597131681877,0.9122452417045646,3068.0
B--DE--0021,0.9168031444480839,0.9123207301173403,0.9145564450253226,3068.0
B--DE--0028,1.0,0.9960886571056062,0.9980404964075767,767.0
B--FE--0007,0.9568281938325991,0.9439374185136897,0.9503390942900897,2301.0
B--FE--0014,0.9280958721704394,0.9083405734144222,0.9181119648737651,2302.0
B--FE--0021,0.9503296703296703,0.9395914819643634,0.9449300699300699,2301.0
IR--DE--0007,0.9944787268593699,0.9980443285528031,0.9962583374003579,3068.0
IR--DE--0014,0.9424119241192412,0.9462585034013605,0.9443312966734555,2940.0
IR--DE--0021,0.9659908436886854,0.9628422425032594,0.9644139732288606,3068.0
IR--DE--0028,1.0,0.9973924380704041,0.9986945169712794,767.0
IR--FE--0007,0.9588688946015425,0.9721980886185926,0.9654874892148404,2302.0
IR--FE--0014,0.9313725490196079,0.9491746307558645,0.9401893287435457,2302.0
IR--FE--0021,0.9150823827629911,0.9413298565840938,0.9280205655526992,2301.0
N--N--N,0.9997128911857595,0.9999282073372101,0.9998205376691432,13929.0
OR--DE--0007,0.9757914338919925,0.9817059731099845,0.9787397681700819,9074.0
OR--DE--0014,0.9123252858958069,0.9361147327249022,0.924066924066924,3068.0
OR--DE--0021,0.9588306142559947,0.9645335389360061,0.9616736217878322,9079.0
OR--FE--0007,0.9314597074849441,0.9407675597393194,0.9360904964334607,6905.0
OR--FE--0014,0.9375616168255011,0.9422060766182299,0.9398781090429913,3028.0
OR--FE--0021,0.9315813321250567,0.8935245545415037,0.9121561668145519,2301.0
accuracy,0.9572876418087326,0.9572876418087326,0.9572876418087326,0.9572876418087326
macro avg,0.9512918030861071,0.9490980187204986,0.9500928756109035,81007.0
weighted avg,0.9572962379335098,0.9572876418087326,0.9572170190976409,81007.0
