,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2835,26,28,0,0,3,0,0,4,0,0,0,0,22,1,2,121,11,7,6,2
B--DE--0014,30,2718,32,0,5,9,5,0,35,10,0,0,22,6,1,34,29,70,37,20,5
B--DE--0021,45,37,2753,0,4,9,0,0,22,17,0,0,1,6,0,41,48,19,5,46,15
B--DE--0028,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B--FE--0007,0,3,3,0,2197,0,17,1,6,0,0,2,4,9,0,10,3,10,31,4,2
B--FE--0014,8,9,2,0,0,2103,12,0,4,3,0,38,13,7,0,17,6,6,54,11,9
B--FE--0021,0,6,0,0,6,15,2168,0,0,0,0,2,3,29,0,1,8,2,55,4,2
IR--DE--0007,0,0,0,0,0,0,0,3064,0,0,0,0,0,0,0,0,0,3,1,0,0
IR--DE--0014,5,36,17,0,9,7,1,0,2762,1,0,1,0,2,1,38,13,38,8,0,0
IR--DE--0021,0,3,4,0,0,2,0,0,0,2986,0,0,3,0,0,7,0,58,1,0,4
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,0,0,3,15,3,0,0,1,0,2237,2,0,0,2,0,6,25,2,6
IR--FE--0014,0,8,2,0,6,9,2,0,0,6,0,5,2152,32,0,0,2,14,27,22,14
IR--FE--0021,18,1,4,0,8,4,12,0,2,0,0,0,22,2165,0,19,0,11,14,19,3
N--N--N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13926,0,0,0,0,0,0
OR--DE--0007,11,4,11,0,0,7,0,2,34,4,0,1,2,20,0,8909,12,38,5,13,1
OR--DE--0014,81,15,42,0,1,4,4,0,4,0,0,0,0,0,0,9,2877,15,16,0,0
OR--DE--0021,16,30,17,0,19,7,1,9,54,67,0,6,5,4,0,32,47,8712,33,14,5
OR--FE--0007,6,21,7,0,23,38,46,3,3,1,0,29,31,27,0,2,21,27,6478,51,91
OR--FE--0014,2,8,34,0,5,8,2,0,0,1,0,4,25,30,0,15,0,14,60,2798,21
OR--FE--0021,3,3,18,0,2,16,2,1,1,4,0,10,16,1,0,0,1,6,118,31,2069
