,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2944,11,9,0,0,0,0,0,3,0,0,0,0,9,0,1,79,4,5,2,1
B--DE--0014,56,2725,36,0,1,8,9,0,23,3,0,0,11,4,0,17,50,70,30,22,3
B--DE--0021,132,16,2683,0,1,5,0,0,30,19,0,0,0,4,0,48,96,20,3,11,0
B--DE--0028,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B--FE--0007,0,4,3,0,2166,2,20,0,15,0,0,6,1,11,0,8,6,16,36,6,2
B--FE--0014,5,4,6,0,0,2143,14,0,13,1,0,29,9,6,0,9,3,2,44,4,9
B--FE--0021,0,2,0,0,3,22,2190,0,0,0,0,1,2,27,0,0,3,0,48,2,2
IR--DE--0007,0,0,0,0,0,0,0,3068,0,0,0,0,0,0,0,0,0,0,0,0,0
IR--DE--0014,24,35,27,0,2,1,0,0,2734,1,0,2,0,0,0,76,14,23,1,0,0
IR--DE--0021,0,0,6,0,0,1,0,0,1,2914,0,0,8,0,0,10,0,125,0,0,3
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0
IR--FE--0007,0,0,1,0,2,27,0,1,0,7,0,2234,0,0,0,4,0,0,17,1,7
IR--FE--0014,1,18,0,0,5,9,12,0,1,5,0,5,2140,28,0,1,0,8,31,22,16
IR--FE--0021,23,1,2,0,1,1,9,0,1,0,0,0,30,2189,0,11,0,5,6,21,2
N--N--N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13927,0,0,0,0,0,0
OR--DE--0007,16,5,16,0,0,4,0,3,19,28,0,2,0,13,0,8939,6,17,0,5,1
OR--DE--0014,215,4,15,0,0,0,3,0,6,0,0,0,0,0,0,6,2805,4,9,0,1
OR--DE--0021,35,25,14,0,7,1,0,32,56,36,0,5,5,4,0,54,42,8745,12,5,1
OR--FE--0007,3,17,5,0,14,31,44,0,1,0,0,17,14,12,0,1,20,8,6637,34,46
OR--FE--0014,8,5,23,0,1,3,2,0,0,0,0,1,9,9,0,6,0,9,50,2884,18
OR--FE--0021,2,0,7,0,1,7,1,2,1,0,0,3,6,0,0,0,0,9,231,14,2018
