,precision,recall,f1-score,support
B--DE--0007,0.9300911854103343,0.8976531942633638,0.9135843423453309,3068.0
B--DE--0014,0.9356252106504888,0.9048239895697523,0.91996685998343,3068.0
B--DE--0021,0.9272363150867824,0.9054758800521513,0.9162269129287599,3068.0
B--DE--0028,1.0,0.9986962190352021,0.9993476842791911,767.0
B--FE--0007,0.9705744978981784,0.9030856149500217,0.9356145880234129,2301.0
B--FE--0014,0.9329829172141918,0.9252823631624674,0.9291166848418757,2302.0
B--FE--0021,0.9162770930726731,0.9369839200347675,0.9265148259561667,2301.0
IR--DE--0007,0.9967116080236764,0.9879400260756193,0.9923064331314454,3068.0
IR--DE--0014,0.9330460722572091,0.9574829931972789,0.9451065972805103,2940.0
IR--DE--0021,0.9471686175260994,0.9758800521512386,0.9613100016053941,3068.0
IR--DE--0028,1.0,1.0,1.0,767.0
IR--FE--0007,0.9604301075268817,0.9700260642919201,0.9652042360060514,2302.0
IR--FE--0014,0.9390296264491198,0.9500434404865334,0.9445044266896998,2302.0
IR--FE--0021,0.9421166306695464,0.9478487614080835,0.9449740034662045,2301.0
N--N--N,0.9999282073372101,0.9999282073372101,0.9999282073372101,13929.0
OR--DE--0007,0.9850429735461547,0.9725589596649769,0.9787611600953807,9074.0
OR--DE--0014,0.8792626728110599,0.9328552803129074,0.9052664874268543,3068.0
OR--DE--0021,0.9656694999448062,0.9635422403348386,0.9646046973205425,9079.0
OR--FE--0007,0.9400855920114123,0.9543808834178131,0.9471793029105282,6905.0
OR--FE--0014,0.9524765729585006,0.939894319682959,0.9461436170212766,3028.0
OR--FE--0021,0.9161425576519916,0.949587136027814,0.9325650874946649,2301.0
accuracy,0.9583122446208352,0.9583122446208352,0.9583122446208352,0.9583122446208352
macro avg,0.9509475218117294,0.9511414069265198,0.95086791219733,81007.0
weighted avg,0.9586097877506086,0.9583122446208352,0.958331490922649,81007.0
