,precision,recall,f1-score,support
B--DE--0007,0.9282265851303508,0.940026075619296,0.934089068825911,3068.0
B--DE--0014,0.9493407356002775,0.8917861799217731,0.9196638655462185,3068.0
B--DE--0021,0.9325073361591132,0.9322033898305084,0.932355338223309,3068.0
B--DE--0028,1.0,0.9973924380704041,0.9986945169712794,767.0
B--FE--0007,0.9619422572178478,0.9556714471968709,0.9587965990843688,2301.0
B--FE--0014,0.9345917471466199,0.924847958297133,0.9296943231441048,2302.0
B--FE--0021,0.9682959048877147,0.9552562988705473,0.9617319046577738,2302.0
IR--DE--0007,0.9957682291666666,0.9970664928292047,0.9964169381107492,3068.0
IR--DE--0014,0.943728813559322,0.9469387755102041,0.9453310696095076,2940.0
IR--DE--0021,0.9693449499838658,0.9791395045632334,0.9742176098589266,3068.0
IR--DE--0028,1.0,1.0,1.0,767.0
IR--FE--0007,0.9657415437987857,0.9678400695349848,0.9667896678966789,2301.0
IR--FE--0014,0.9402597402597402,0.9435273675065161,0.9418907198612316,2302.0
IR--FE--0021,0.9292714103110353,0.9478487614080835,0.9384681583476765,2301.0
N--N--N,0.9997129117921482,1.0,0.9998564352882062,13929.0
OR--DE--0007,0.980276134122288,0.9858937623980604,0.983076923076923,9074.0
OR--DE--0014,0.9249839021249195,0.9364406779661016,0.930677032717849,3068.0
OR--DE--0021,0.9681703435407749,0.9715827734331975,0.9698735568993954,9079.0
OR--FE--0007,0.9467823571945047,0.9481535119478639,0.9474674384949349,6905.0
OR--FE--0014,0.9414473684210526,0.9451783355350066,0.9433091628213579,3028.0
OR--FE--0021,0.9286029087703834,0.9156888309430682,0.9221006564551423,2301.0
accuracy,0.9635093263545126,0.9635093263545126,0.9635093263545126,0.9635093263545126
macro avg,0.9575711990089241,0.9563086976848599,0.9568809993281687,81007.0
weighted avg,0.9635027131279268,0.9635093263545126,0.963460438280591,81007.0
