,B--DE--0007,B--DE--0014,B--DE--0021,B--DE--0028,B--FE--0007,B--FE--0014,B--FE--0021,IR--DE--0007,IR--DE--0014,IR--DE--0021,IR--DE--0028,IR--FE--0007,IR--FE--0014,IR--FE--0021,N--N--N,OR--DE--0007,OR--DE--0014,OR--DE--0021,OR--FE--0007,OR--FE--0014,OR--FE--0021
B--DE--0007,2860,15,28,0,1,2,0,0,3,0,0,0,0,18,0,7,113,8,7,4,2
B--DE--0014,27,2769,35,0,1,5,4,0,29,6,0,0,25,6,0,15,33,67,23,19,4
B--DE--0021,30,14,2829,0,3,9,0,0,17,16,0,1,0,6,0,33,34,17,9,35,15
B--DE--0028,0,0,0,766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B--FE--0007,0,3,3,0,2183,0,15,0,10,0,0,2,5,17,0,7,3,18,34,1,0
B--FE--0014,4,3,2,0,2,2116,12,1,3,8,0,31,17,6,0,9,4,6,52,12,14
B--FE--0021,0,1,0,0,7,24,2176,0,0,0,0,1,6,21,0,0,5,0,51,2,7
IR--DE--0007,0,0,0,0,0,0,0,3062,0,0,0,0,0,0,0,0,0,6,0,0,0
IR--DE--0014,5,30,14,0,18,5,0,0,2798,1,0,0,0,0,2,28,5,29,5,0,0
IR--DE--0021,0,3,3,0,0,2,0,0,7,2986,0,3,5,0,0,7,0,47,3,2,0
IR--DE--0028,0,0,0,0,0,0,0,0,0,0,765,1,0,0,0,0,0,1,0,0,0
IR--FE--0007,0,0,0,0,2,21,2,0,0,3,0,2240,2,0,0,1,0,2,18,4,7
IR--FE--0014,0,8,0,0,3,9,0,0,0,1,0,1,2182,39,0,0,1,8,20,17,13
IR--FE--0021,18,0,2,0,4,11,9,0,2,0,0,0,24,2175,0,14,0,7,16,17,2
N--N--N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13928,0,0,0,0,0,0
OR--DE--0007,9,5,15,0,0,6,0,1,29,9,0,5,0,10,0,8942,6,29,5,3,0
OR--DE--0014,78,11,41,0,4,4,1,0,6,0,0,0,0,1,0,12,2885,14,11,0,0
OR--DE--0021,14,27,13,0,12,4,0,14,40,43,0,2,7,9,0,29,25,8809,22,7,2
OR--FE--0007,6,12,7,0,28,32,36,1,0,0,0,22,16,24,0,7,14,30,6563,34,73
OR--FE--0014,6,4,19,0,6,4,5,0,0,0,0,4,18,20,0,11,1,14,44,2857,15
OR--FE--0021,5,4,12,0,3,8,4,1,1,2,0,13,22,6,0,0,1,6,98,22,2093
